sys:1: DtypeWarning: Columns (8,9,10,11,12,43,157,196,214,225,228,229,231,235,238) have mixed types. Specify dtype option on import or set low_memory=False.
sys:1: DtypeWarning: Columns (8,9,10,11,12,43,157,167,177,196,214,225,228,229,231,235,238) have mixed types. Specify dtype option on import or set low_memory=False.
/home/ubuntu/anaconda/lib/python2.7/site-packages/numpy/lib/arraysetops.py:200: FutureWarning: numpy not_equal will not check object identity in the future. The comparison did not return the same result as suggested by the identity (`is`)) and will change.
  flag = np.concatenate(([True], aux[1:] != aux[:-1]))
Will train until validation_0 error hasn't decreased in 20 rounds.
[320]	validation_0-auc:0.803587
[321]	validation_0-auc:0.803627
[322]	validation_0-auc:0.803657
[323]	validation_0-auc:0.803680
[324]	validation_0-auc:0.803651
[325]	validation_0-auc:0.803675
[326]	validation_0-auc:0.803660
[327]	validation_0-auc:0.803714
[328]	validation_0-auc:0.803783
[329]	validation_0-auc:0.803750
[330]	validation_0-auc:0.803639
[331]	validation_0-auc:0.803679
[332]	validation_0-auc:0.803680
[333]	validation_0-auc:0.803728
[334]	validation_0-auc:0.803772
[335]	validation_0-auc:0.803828
[336]	validation_0-auc:0.803883
[337]	validation_0-auc:0.803945
[338]	validation_0-auc:0.803995
[339]	validation_0-auc:0.804068
[340]	validation_0-auc:0.804207
[341]	validation_0-auc:0.804263
[342]	validation_0-auc:0.804334
[343]	validation_0-auc:0.804385
[344]	validation_0-auc:0.804432
[345]	validation_0-auc:0.804413
[346]	validation_0-auc:0.804466
[347]	validation_0-auc:0.804472
[348]	validation_0-auc:0.804500
[349]	validation_0-auc:0.804480
[350]	validation_0-auc:0.804454
[351]	validation_0-auc:0.804474
[352]	validation_0-auc:0.804553
[353]	validation_0-auc:0.804501
[354]	validation_0-auc:0.804485
[355]	validation_0-auc:0.804489
[356]	validation_0-auc:0.804523
[357]	validation_0-auc:0.804524
[358]	validation_0-auc:0.804542
[359]	validation_0-auc:0.804583
[360]	validation_0-auc:0.804603
[361]	validation_0-auc:0.804636
[362]	validation_0-auc:0.804707
[363]	validation_0-auc:0.804724
[364]	validation_0-auc:0.804752
[365]	validation_0-auc:0.804777
[366]	validation_0-auc:0.804865
[367]	validation_0-auc:0.804918
[368]	validation_0-auc:0.804955
[369]	validation_0-auc:0.804933
[370]	validation_0-auc:0.804885
[371]	validation_0-auc:0.804905
[372]	validation_0-auc:0.804947
[373]	validation_0-auc:0.804905
[374]	validation_0-auc:0.804930
[375]	validation_0-auc:0.804951
[376]	validation_0-auc:0.804873
[377]	validation_0-auc:0.804906
[378]	validation_0-auc:0.804919
[379]	validation_0-auc:0.804921
[380]	validation_0-auc:0.804919
[381]	validation_0-auc:0.804913
[382]	validation_0-auc:0.804966
[383]	validation_0-auc:0.805014
[384]	validation_0-auc:0.805012
[385]	validation_0-auc:0.805021
[386]	validation_0-auc:0.804995
[387]	validation_0-auc:0.805046
[388]	validation_0-auc:0.805009
[389]	validation_0-auc:0.805019
[390]	validation_0-auc:0.805027
[391]	validation_0-auc:0.805088
[392]	validation_0-auc:0.805148
[393]	validation_0-auc:0.805219
[394]	validation_0-auc:0.805194
[395]	validation_0-auc:0.805227
[396]	validation_0-auc:0.805191
[397]	validation_0-auc:0.805216
[398]	validation_0-auc:0.805207
[399]	validation_0-auc:0.805239
[400]	validation_0-auc:0.805233
[401]	validation_0-auc:0.805227
[402]	validation_0-auc:0.805178
[403]	validation_0-auc:0.805175
[404]	validation_0-auc:0.805161
[405]	validation_0-auc:0.805201
[406]	validation_0-auc:0.805218
[407]	validation_0-auc:0.805205
[408]	validation_0-auc:0.805281
[409]	validation_0-auc:0.805331
[410]	validation_0-auc:0.805386
[411]	validation_0-auc:0.805384
[412]	validation_0-auc:0.805379
[413]	validation_0-auc:0.805371
[414]	validation_0-auc:0.805400
[415]	validation_0-auc:0.805399
[416]	validation_0-auc:0.805387
[417]	validation_0-auc:0.805386
[418]	validation_0-auc:0.805455
[419]	validation_0-auc:0.805491
[420]	validation_0-auc:0.805523
[421]	validation_0-auc:0.805539
[422]	validation_0-auc:0.805551
[423]	validation_0-auc:0.805510
[424]	validation_0-auc:0.805443
[425]	validation_0-auc:0.805469
[426]	validation_0-auc:0.805526
[427]	validation_0-auc:0.805576
[428]	validation_0-auc:0.805617
[429]	validation_0-auc:0.805609
[430]	validation_0-auc:0.805604
[431]	validation_0-auc:0.805589
[432]	validation_0-auc:0.805595
[433]	validation_0-auc:0.805632
[434]	validation_0-auc:0.805639
[435]	validation_0-auc:0.805655
[436]	validation_0-auc:0.805620
[437]	validation_0-auc:0.805610
[438]	validation_0-auc:0.805626
[439]	validation_0-auc:0.805584
[440]	validation_0-auc:0.805595
[441]	validation_0-auc:0.805677
[442]	validation_0-auc:0.805689
[443]	validation_0-auc:0.805617
[444]	validation_0-auc:0.805639
[445]	validation_0-auc:0.805662
[446]	validation_0-auc:0.805683
[447]	validation_0-auc:0.805710
[448]	validation_0-auc:0.805705
